Americone Dream (R),4.4,4.2,3.7,4.8,3.5,4.2,4.4,3.5,4.0,3.9,3.5,4.9
Brewed to Matter (TM),3.5,4.0,4.1,3.9,4.3,3.4,4.1,3.6,4.4,4.8,3.8,4.8
Cannoli,3.5,4.1,4.2,3.8,4.6,4.7,3.7,4.9,3.8,3.6,3.5,4.7
Caramel Chocolate Cheesecake,4.7,4.3,4.0,3.6,4.6,3.8,4.6,4.1,4.7,4.9,4.2,4.1
Change is Brewing,3.5,3.6,3.9,3.6,4.4,3.6,3.5,4.0,3.9,3.6,4.0,4.3
Cherry Banana,3.4,5.6,4.7,4.4,4.9,3.6,4.0,3.6,4.2,4.9,4.8,4.9,4.0,4.0
Cherry Garcia (R),3.5,5.0,4.2,3.4,4.0,4.6,4.4,4.7,4.7,4.3,4.5,3.8
Chocolate Caramel Cookie Dough,4.0,4.2,4.1,3.4,4.7,3.8,4.3,4.8,3.5,4.5,4.5,4.1
Chocolate Chip Cookie Dough,4.3,5.0,4.1,3.8,3.6,4.2,4.7,3.9,4.8,4.8,3.9,4.9
Chocolate Fudge Brownie,4.4,4.5,3.9,3.7,4.9,4.2,5.0,4.5,4.9,3.4,4.8,4.3
Chocolate Peanut Butter Split,4.7,4.4,4.9,3.6,4.0,3.6,4.2,4.9,4.8,4.9,4.0,4.0
Chocolate Shake It (TM),4.1,3.7,3.9,4.5,3.9,4.9,4.2,4.7,4.0,4.3,4.1,3.5
Chocolate, Strawberry and Mango,3.8,4.7,5.0,4.1,4.7,4.2,4.2,3.9,4.6,4.3,4.9,4.8
Chocolate Therapy (R),3.9,4.5,4.4,4.7,3.9,4.8,5.0,3.6,3.4,3.7,4.4,4.5
Chubby Hubby (R),4.9,4.9,4.2,4.9,4.6,3.8,3.5,4.8,3.7,3.8,4.2,4.3
Chunky Monkey (R),4.7,3.9,3.6,4.3,5.0,3.6,4.1,4.6,4.0,3.7,4.0,3.6
Cinnamon Buns (R),4.5,4.0,4.7,4.7,3.8,4.1,4.0,4.8,4.2,4.3,3.6,3.5
Coffee Coffee BuzzBuzzBuzz! (R),4.6,4.1,4.8,4.1,3.9,4.1,4.6,4.7,3.8,4.8,3.6,4.0
Coffee Toffee Bar Crunch,3.7,4.1,4.6,3.7,5.0,3.6,4.8,4.3,4.1,4.9,4.1,4.8
Cold Brew Caramel Latte ,3.5,3.7,4.2,4.6,3.9,4.0,4.7,4.1,4.4,3.8,3.9,4.7
Everything But The... (R),3.7,3.8,4.3,3.7,3.7,4.8,3.6,3.5,4.0,3.5,3.6,4.6
Gimme S’more! (TM),5.0,3.5,4.2,4.1,4.9,4.2,4.7,3.7,4.0,4.5,4.1,3.7
Glampfire Trail Mix (TM),5.0,4.1,5.0,4.0,3.7,4.6,4.7,4.3,4.7,4.7,4.8,3.7
Go-To Cold Brew (TM),4.0,4.4,4.0,4.0,4.0,4.2,5.0,4.0,4.3,4.9,4.1,4.6
Gronsky's Delight,5.0,4.5,4.9,3.4,4.8,4.3
Half Baked (R),3.5,3.9,4.2,4.4,4.8,4.9,3.9,4.1,5.0,4.8,3.9,4.2
Ice Cream Sammie,4.6,3.7,4.8,4.8,3.9,4.9,5.0,4.3,3.7,4.2,4.7,3.6
Justice ReMix'd  (TM),3.5,3.8,4.4,3.4,4.2,3.9,4.8,4.5,3.8,4.4,4.2,3.8
Milk & Cookies,4.0,4.0,4.8,4.4,3.4,4.9,3.5,4.2,4.4,3.4,4.5,4.9
Mint Chocolate Cookie,3.7,4.9,3.8,3.8,4.5,3.9,4.8,4.1,4.8,4.6,4.2,4.7
Minter Wonderland (TM),3.5,3.8,4.3,4.8,3.9,4.5,4.0,3.7,4.8,4.9,4.1,4.5
Netflix & Chilll'd (TM),4.6,3.8,4.3,4.1,4.9,4.4,4.4,4.1,4.1,4.9,4.3,3.5
New York Super Fudge Chunk (R),3.8,4.7,5.0,4.1,4.7,4.2,4.2,3.9,4.6,4.3,4.9,4.8
Oat of This Swirled (TM),4.4,4.2,4.2,3.8,5.0,4.8,4.1,4.3,4.9,4.9,4.0,5.0
PB Over the Top,4.3,4.8,3.6,3.6,4.1,3.8,4.4,4.3,4.7,3.7,4.6,4.6
Peanut Butter Cup,4.2,4.7,3.9,3.9,4.0,4.9,4.4,3.6,4.9,4.9,4.6,3.9
Peanut Butter Half Baked (R),4.5,4.2,3.4,4.5,4.4,4.5,3.9,4.0,4.3,3.4,3.8,4.6
Peanut Butter mmmmmmmmm,2.3,5.0,3.5,4.2,4.1,4.9,4.2,4.7,3.7,4.0,4.5,4.1,3.7,2.5
Peanut Butter World (R),4.0,4.2,4.8,4.0,3.5,4.5,4.9,4.8,4.0,4.4,4.0,3.6
Phish Food (R),4.8,4.1,3.7,4.9,3.8,3.6,3.7,3.8,4.2,4.3,4.6,4.1
Pistachio Pistachio,4.4,4.1,4.7,3.5,4.3,3.4,4.3,4.4,4.5,4.8,4.9,4.8
Pumpkin Cheesecake,4.0,3.4,3.9,3.7,4.7,4.1,4.9,4.1,4.1,4.8,4.3,3.4
Punch Line (TM),3.4,4.9,4.2,3.7,3.8,3.7,4.8,3.8,3.8,4.2,4.4,3.8
Salted Caramel Almond,4.6,3.4,4.1,4.5,3.5,3.8,4.5,4.1,3.5,4.6,4.9,4.6
Salted Caramel Brownie,4.2,4.3,4.9,4.8,4.7,3.5,4.8,4.7,4.3,3.5,4.5,4.7
Strawberry Cheesecake,3.6,3.5,4.7,4.5,4.1,3.7,4.5,4.8,4.6,4.8,3.7,4.1
Strawberry Topped Tart,4.1,4.7,4.7,3.7,3.8,4.2,4.8,4.3,4.7,4.9,3.6,4.9
The Tonight Dough (R),3.9,5.0,3.7,4.4,4.8,4.9,4.2,4.9,4.9,5.0,4.0,4.6
Thick Mint,5.0,4.0,4.0,4.8,4.9,3.8,3.8,4.8,3.6,4.4,3.7,3.9
Tiramisu,4.1,3.6,4.0,4.1,3.8,4.2,3.9,4.5,3.9,4.3,4.2,4.2
Totaly Addictive,3.4,3.5,3.8,4.4,3.4,4.2,3.9,4.8,4.5,3.8,4.4,4.2
Totally Unbaked (TM),4.1,3.7,4.1,4.1,4.1,3.6,3.5,4.6,4.8,3.9,4.6,4.1
Triple Caramel Chunk (R),5.0,4.8,4.3,4.6,4.5,4.7,4.0,4.5,4.8,3.4,4.2,4.0
Vanilla,4.9,4.6,4.6,3.5,4.8,3.7,4.3,4.4,4.4,3.7,4.2,4.0
Vanilla Caramel Fudge,3.7,3.8,4.8,3.4,3.9,3.5,4.0,4.9,4.6,4.6,3.7,4.8
Whiskey Biz (TM),4.5,4.2,3.9,4.1,4.4,4.4,3.4,4.7,4.3,4.3,3.6,4.6
